刺刀（★ StatTrak™） | 澄澈之水 (略有磨损)max,4105.99,刺刀（★ StatTrak™） | 澄澈之水 (略有磨损)buff,1379,2726.99
刺刀（★ StatTrak™） | 狩猎网格 (战痕累累)max,1483.26,刺刀（★ StatTrak™） | 狩猎网格 (战痕累累)max,1483.26,0.0
刺刀（★ StatTrak™） | 狩猎网格 (略有磨损)max,1526.48,刺刀（★ StatTrak™） | 狩猎网格 (略有磨损)buff,1050,476.48
刺刀（★ StatTrak™） | 自动化 (久经沙场)max,3101.26,刺刀（★ StatTrak™） | 自动化 (久经沙场)buff,2134.5,966.7600000000002
刺刀（★ StatTrak™） | 自动化 (略有磨损)max,4408.78,刺刀（★ StatTrak™） | 自动化 (略有磨损)buff,2700,1708.7799999999997
刺刀（★ StatTrak™） | 自由之手 (略有磨损)max,2348.92,刺刀（★ StatTrak™） | 自由之手 (略有磨损)buff,1540,808.9200000000001
刺刀（★ StatTrak™） | 虎牙 (崭新出厂)max,3741.74,刺刀（★ StatTrak™） | 虎牙 (崭新出厂)buff,2399.99,1341.75
刺刀（★ StatTrak™） | 表面淬火 (久经沙场)max,2546.88,刺刀（★ StatTrak™） | 表面淬火 (久经沙场)igxe,1731.55,815.3300000000002
刺刀（★）max,3679.39,刺刀（★）buff,2459.49,1219.9
刺刀（★） | 人工染色 (久经沙场)max,1483.13,刺刀（★） | 人工染色 (久经沙场)buff,1070,413.1300000000001
刺刀（★） | 人工染色 (略有磨损)max,1767.71,刺刀（★） | 人工染色 (略有磨损)igxe,1134.00,633.71
刺刀（★） | 传说 (久经沙场)max,3214.38,刺刀（★） | 传说 (久经沙场)buff,2371.77,842.6100000000001
刺刀（★） | 传说 (略有磨损)max,5509.32,刺刀（★） | 传说 (略有磨损)buff,3725,1784.3199999999997
刺刀（★） | 传说 (破损不堪)max,3869.85,刺刀（★） | 传说 (破损不堪)buff,2034,1835.85
