M9 刺刀（★ StatTrak™） | 人工染色 (略有磨损)max 2305.13 M9 刺刀（★ StatTrak™） | 人工染色 (略有磨损)buff 1570 735.130
弯刀（★ StatTrak™） | 蓝钢 (久经沙场)max 927.81 弯刀（★ StatTrak™） | 蓝钢 (久经沙场)buff 697.9 229.910
弯刀（★ StatTrak™） | 都市伪装 (战痕累累)max 703.17 弯刀（★ StatTrak™） | 都市伪装 (战痕累累)buff 494.87 208.300
弯刀（★ StatTrak™） | 黑色层压板 (战痕累累)max 797.09 弯刀（★ StatTrak™） | 黑色层压板 (战痕累累)buff 529.5 267.590
弯刀（★ StatTrak™） | 黑色层压板 (略有磨损)max 831.41 弯刀（★ StatTrak™） | 黑色层压板 (略有磨损)buff 602.9 228.510
弯刀（★）max 720.22 弯刀（★）buff 568.3 151.920
弯刀（★） | 人工染色 (久经沙场)max 568.50 弯刀（★） | 人工染色 (久经沙场)buff 398.99 169.510
弯刀（★） | 人工染色 (战痕累累)max 559.07 弯刀（★） | 人工染色 (战痕累累)buff 409.94 149.130
弯刀（★） | 人工染色 (略有磨损)max 537.99 弯刀（★） | 人工染色 (略有磨损)buff 438.7 99.290
弯刀（★） | 传说 (久经沙场)igxe 780.00 弯刀（★） | 传说 (久经沙场)max 1019.79 -239.790
弯刀（★） | 传说 (崭新出厂)max 1651.65 弯刀（★） | 传说 (崭新出厂)buff 1109 542.650
弯刀（★） | 传说 (略有磨损)igxe 908.00 弯刀（★） | 传说 (略有磨损)max 1272.74 -364.740
弯刀（★） | 传说 (破损不堪)buff 760 弯刀（★） | 传说 (破损不堪)max 1179.95 -419.950
弯刀（★） | 伽玛多普勒 (崭新出厂)max 1573.11 弯刀（★） | 伽玛多普勒 (崭新出厂)buff 1229.9 343.210
弯刀（★） | 伽玛多普勒 (略有磨损)max 1977.77 弯刀（★） | 伽玛多普勒 (略有磨损)buff 1333.97 643.800
弯刀（★） | 北方森林 (久经沙场)max 511.97 弯刀（★） | 北方森林 (久经沙场)igxe 443.42 68.550
弯刀（★） | 北方森林 (战痕累累)max 537.53 弯刀（★） | 北方森林 (战痕累累)buff 395.95 141.580
弯刀（★） | 噩梦之夜 (战痕累累)max 531.10 弯刀（★） | 噩梦之夜 (战痕累累)buff 410.49 120.610
