540,求生匕首（★ StatTrak™） | 狩猎网格 (略有磨损)
928,求生匕首（★）
549,求生匕首（★） | 人工染色 (久经沙场)
609.88,求生匕首（★） | 人工染色 (略有磨损)
520,求生匕首（★） | 人工染色 (破损不堪)
432,求生匕首（★） | 北方森林 (久经沙场)
480,求生匕首（★） | 北方森林 (略有磨损)
514.5,求生匕首（★） | 夜色 (久经沙场)
460,求生匕首（★） | 夜色 (战痕累累)
617.4,求生匕首（★） | 夜色 (略有磨损)
1324,求生匕首（★） | 屠夫 (崭新出厂)
1219,求生匕首（★） | 屠夫 (略有磨损)
409.7,求生匕首（★） | 枯焦之色 (战痕累累)
449.5,求生匕首（★） | 枯焦之色 (略有磨损)
428,求生匕首（★） | 枯焦之色 (破损不堪)
428,求生匕首（★） | 森林 DDPAT (久经沙场)
415.9,求生匕首（★） | 森林 DDPAT (战痕累累)
470.99,求生匕首（★） | 森林 DDPAT (略有磨损)
1148,求生匕首（★） | 深红之网 (久经沙场)
9300,求生匕首（★） | 深红之网 (崭新出厂)
1800,求生匕首（★） | 深红之网 (略有磨损)
1050,求生匕首（★） | 深红之网 (破损不堪)
2009,求生匕首（★） | 渐变之色 (崭新出厂)
403.5,求生匕首（★） | 狩猎网格 (久经沙场)
557,求生匕首（★） | 蓝钢 (久经沙场)
525,求生匕首（★） | 蓝钢 (破损不堪)
611.48,求生匕首（★） | 表面淬火 (战痕累累)
897.8,求生匕首（★） | 表面淬火 (略有磨损)
659.3,求生匕首（★） | 表面淬火 (破损不堪)
435,求生匕首（★） | 都市伪装 (久经沙场)
419.1,求生匕首（★） | 都市伪装 (战痕累累)
497,求生匕首（★） | 都市伪装 (略有磨损)
438,求生匕首（★） | 都市伪装 (破损不堪)
1090,流浪者匕首（★ StatTrak™） | 人工染色 (久经沙场)
1270,流浪者匕首（★ StatTrak™） | 人工染色 (略有磨损)
1029.5,流浪者匕首（★ StatTrak™） | 夜色 (略有磨损)
589,流浪者匕首（★ StatTrak™） | 枯焦之色 (久经沙场)
616,流浪者匕首（★ StatTrak™） | 森林 DDPAT (久经沙场)
3599,流浪者匕首（★ StatTrak™） | 深红之网 (略有磨损)
4420,流浪者匕首（★ StatTrak™） | 渐变之色 (崭新出厂)
594.5,流浪者匕首（★ StatTrak™） | 狩猎网格 (久经沙场)
1200,流浪者匕首（★ StatTrak™） | 表面淬火 (破损不堪)
690,流浪者匕首（★ StatTrak™） | 都市伪装 (久经沙场)
609,流浪者匕首（★ StatTrak™） | 都市伪装 (战痕累累)
1891,流浪者匕首（★）
1100,流浪者匕首（★） | 人工染色 (久经沙场)
1270,流浪者匕首（★） | 人工染色 (略有磨损)
927.88,流浪者匕首（★） | 人工染色 (破损不堪)
681.5,流浪者匕首（★） | 北方森林 (久经沙场)
578,流浪者匕首（★） | 北方森林 (战痕累累)
648.5,流浪者匕首（★） | 夜色 (战痕累累)
1915,流浪者匕首（★） | 屠夫 (久经沙场)
2330,流浪者匕首（★） | 屠夫 (崭新出厂)
2048,流浪者匕首（★） | 屠夫 (略有磨损)
585,流浪者匕首（★） | 枯焦之色 (久经沙场)
645,流浪者匕首（★） | 枯焦之色 (略有磨损)
569.5,流浪者匕首（★） | 枯焦之色 (破损不堪)
607.5,流浪者匕首（★） | 森林 DDPAT (久经沙场)
573.5,流浪者匕首（★） | 森林 DDPAT (战痕累累)
704.5,流浪者匕首（★） | 森林 DDPAT (略有磨损)
584.2,流浪者匕首（★） | 森林 DDPAT (破损不堪)
2129.99,流浪者匕首（★） | 深红之网 (久经沙场)
1208.95,流浪者匕首（★） | 深红之网 (战痕累累)
1720,流浪者匕首（★） | 深红之网 (破损不堪)
4438.88,流浪者匕首（★） | 渐变之色 (崭新出厂)
4460,流浪者匕首（★） | 渐变之色 (略有磨损)
582.5,流浪者匕首（★） | 狩猎网格 (久经沙场)
